Sexo;Tipo de empleo buscado;Grupos de edad (años);Periodo;Total
ambos sexos;de jornada parcial o si no, completa;de 50 a 54;1991TII;2
ambos sexos;de jornada parcial o si no, completa;de 50 a 54;1991TI;1,9
ambos sexos;de jornada parcial o si no, completa;de 50 a 54;1990TIV;2,8
ambos sexos;de jornada parcial o si no, completa;de 50 a 54;1990TIII;2,1
ambos sexos;de jornada parcial o si no, completa;de 50 a 54;1990TII;2,2
ambos sexos;de jornada parcial o si no, completa;de 50 a 54;1990TI;2,7
ambos sexos;de jornada parcial o si no, completa;de 50 a 54;1989TIV;2
ambos sexos;de jornada parcial o si no, completa;de 50 a 54;1989TIII;2
ambos sexos;de jornada parcial o si no, completa;de 50 a 54;1989TII;3
ambos sexos;de jornada parcial o si no, completa;de 50 a 54;1989TI;3
ambos sexos;de jornada parcial o si no, completa;de 50 a 54;1988TIV;2,5
ambos sexos;de jornada parcial o si no, completa;de 50 a 54;1988TIII;3,5
ambos sexos;de jornada parcial o si no, completa;de 50 a 54;1988TII;3
ambos sexos;de jornada parcial o si no, completa;de 50 a 54;1988TI;2,9
ambos sexos;de jornada parcial o si no, completa;de 50 a 54;1987TIV;3,3
ambos sexos;de jornada parcial o si no, completa;de 50 a 54;1987TIII;2,5
ambos sexos;de jornada parcial o si no, completa;de 50 a 54;1987TII;4,1
ambos sexos;de jornada parcial o si no, completa;de 55 a 59;1995TIV;1,7
ambos sexos;de jornada parcial o si no, completa;de 55 a 59;1995TIII;2,3
ambos sexos;de jornada parcial o si no, completa;de 55 a 59;1995TII;2,7
ambos sexos;de jornada parcial o si no, completa;de 55 a 59;1995TI;1,6
ambos sexos;de jornada parcial o si no, completa;de 55 a 59;1994TIV;0,8
ambos sexos;de jornada parcial o si no, completa;de 55 a 59;1994TIII;1,8
ambos sexos;de jornada parcial o si no, completa;de 55 a 59;1994TII;1,2
ambos sexos;de jornada parcial o si no, completa;de 55 a 59;1994TI;1,6
ambos sexos;de jornada parcial o si no, completa;de 55 a 59;1993TIV;3,5
ambos sexos;de jornada parcial o si no, completa;de 55 a 59;1993TIII;3,3
ambos sexos;de jornada parcial o si no, completa;de 55 a 59;1993TII;1,4
ambos sexos;de jornada parcial o si no, completa;de 55 a 59;1993TI;1,8
ambos sexos;de jornada parcial o si no, completa;de 55 a 59;1992TIV;1,3
ambos sexos;de jornada parcial o si no, completa;de 55 a 59;1992TIII;2
ambos sexos;de jornada parcial o si no, completa;de 55 a 59;1992TII;2,4
ambos sexos;de jornada parcial o si no, completa;de 55 a 59;1992TI;3
ambos sexos;de jornada parcial o si no, completa;de 55 a 59;1991TIV;0,8
ambos sexos;de jornada parcial o si no, completa;de 55 a 59;1991TIII;1
ambos sexos;de jornada parcial o si no, completa;de 55 a 59;1991TII;1,1
ambos sexos;de jornada parcial o si no, completa;de 55 a 59;1991TI;1,9
ambos sexos;de jornada parcial o si no, completa;de 55 a 59;1990TIV;2,3
ambos sexos;de jornada parcial o si no, completa;de 55 a 59;1990TIII;1,7
ambos sexos;de jornada parcial o si no, completa;de 55 a 59;1990TII;3,1
ambos sexos;de jornada parcial o si no, completa;de 55 a 59;1990TI;2,5
ambos sexos;de jornada parcial o si no, completa;de 55 a 59;1989TIV;2,3
ambos sexos;de jornada parcial o si no, completa;de 55 a 59;1989TIII;1,6
ambos sexos;de jornada parcial o si no, completa;de 55 a 59;1989TII;1,1
ambos sexos;de jornada parcial o si no, completa;de 55 a 59;1989TI;2,1
ambos sexos;de jornada parcial o si no, completa;de 55 a 59;1988TIV;2,1
ambos sexos;de jornada parcial o si no, completa;de 55 a 59;1988TIII;1,6
ambos sexos;de jornada parcial o si no, completa;de 55 a 59;1988TII;1,9
ambos sexos;de jornada parcial o si no, completa;de 55 a 59;1988TI;2,3
ambos sexos;de jornada parcial o si no, completa;de 55 a 59;1987TIV;2,3
ambos sexos;de jornada parcial o si no, completa;de 55 a 59;1987TIII;2,3
ambos sexos;de jornada parcial o si no, completa;de 55 a 59;1987TII;2
ambos sexos;de jornada parcial o si no, completa;de 60 a 64;1995TIV;0,2
ambos sexos;de jornada parcial o si no, completa;de 60 a 64;1995TIII;0,5
ambos sexos;de jornada parcial o si no, completa;de 60 a 64;1995TII;0,3
ambos sexos;de jornada parcial o si no, completa;de 60 a 64;1995TI;0,6
ambos sexos;de jornada parcial o si no, completa;de 60 a 64;1994TIV;0,3
ambos sexos;de jornada parcial o si no, completa;de 60 a 64;1994TIII;0
ambos sexos;de jornada parcial o si no, completa;de 60 a 64;1994TII;1
ambos sexos;de jornada parcial o si no, completa;de 60 a 64;1994TI;0,3
ambos sexos;de jornada parcial o si no, completa;de 60 a 64;1993TIV;0,6
ambos sexos;de jornada parcial o si no, completa;de 60 a 64;1993TIII;0,8
ambos sexos;de jornada parcial o si no, completa;de 60 a 64;1993TII;0,9
ambos sexos;de jornada parcial o si no, completa;de 60 a 64;1993TI;0,8
ambos sexos;de jornada parcial o si no, completa;de 60 a 64;1992TIV;0,3
ambos sexos;de jornada parcial o si no, completa;de 60 a 64;1992TIII;0,5
ambos sexos;de jornada parcial o si no, completa;de 60 a 64;1992TII;0,8
ambos sexos;de jornada parcial o si no, completa;de 60 a 64;1992TI;0,6
ambos sexos;de jornada parcial o si no, completa;de 60 a 64;1991TIV;0,6
ambos sexos;de jornada parcial o si no, completa;de 60 a 64;1991TIII;0,6
ambos sexos;de jornada parcial o si no, completa;de 60 a 64;1991TII;0,2
ambos sexos;de jornada parcial o si no, completa;de 60 a 64;1991TI;0,2
ambos sexos;de jornada parcial o si no, completa;de 60 a 64;1990TIV;0,4
ambos sexos;de jornada parcial o si no, completa;de 60 a 64;1990TIII;0,8
ambos sexos;de jornada parcial o si no, completa;de 60 a 64;1990TII;0,8
ambos sexos;de jornada parcial o si no, completa;de 60 a 64;1990TI;1,1
ambos sexos;de jornada parcial o si no, completa;de 60 a 64;1989TIV;1,9
ambos sexos;de jornada parcial o si no, completa;de 60 a 64;1989TIII;1,4
ambos sexos;de jornada parcial o si no, completa;de 60 a 64;1989TII;0,3
ambos sexos;de jornada parcial o si no, completa;de 60 a 64;1989TI;0,5
ambos sexos;de jornada parcial o si no, completa;de 60 a 64;1988TIV;0,7
ambos sexos;de jornada parcial o si no, completa;de 60 a 64;1988TIII;1,5
ambos sexos;de jornada parcial o si no, completa;de 60 a 64;1988TII;0,6
ambos sexos;de jornada parcial o si no, completa;de 60 a 64;1988TI;0
ambos sexos;de jornada parcial o si no, completa;de 60 a 64;1987TIV;0,9
ambos sexos;de jornada parcial o si no, completa;de 60 a 64;1987TIII;1,2
ambos sexos;de jornada parcial o si no, completa;de 60 a 64;1987TII;0,1
ambos sexos;de jornada parcial o si no, completa;de 65 a 69;1995TIV;0
ambos sexos;de jornada parcial o si no, completa;de 65 a 69;1995TIII;0
ambos sexos;de jornada parcial o si no, completa;de 65 a 69;1995TII;0
ambos sexos;de jornada parcial o si no, completa;de 65 a 69;1995TI;0
ambos sexos;de jornada parcial o si no, completa;de 65 a 69;1994TIV;0
ambos sexos;de jornada parcial o si no, completa;de 65 a 69;1994TIII;0
ambos sexos;de jornada parcial o si no, completa;de 65 a 69;1994TII;0
ambos sexos;de jornada parcial o si no, completa;de 65 a 69;1994TI;0,1
ambos sexos;de jornada parcial o si no, completa;de 65 a 69;1993TIV;0
ambos sexos;de jornada parcial o si no, completa;de 65 a 69;1993TIII;0
ambos sexos;de jornada parcial o si no, completa;de 65 a 69;1993TII;0
ambos sexos;de jornada parcial o si no, completa;de 65 a 69;1993TI;0
ambos sexos;de jornada parcial o si no, completa;de 65 a 69;1992TIV;0,2
ambos sexos;de jornada parcial o si no, completa;de 65 a 69;1992TIII;0
ambos sexos;de jornada parcial o si no, completa;de 65 a 69;1992TII;0
ambos sexos;de jornada parcial o si no, completa;de 65 a 69;1992TI;0,1
ambos sexos;de jornada parcial o si no, completa;de 65 a 69;1991TIV;0
ambos sexos;de jornada parcial o si no, completa;de 65 a 69;1991TIII;0
ambos sexos;de jornada parcial o si no, completa;de 65 a 69;1991TII;0,2
ambos sexos;de jornada parcial o si no, completa;de 65 a 69;1991TI;0
ambos sexos;de jornada parcial o si no, completa;de 65 a 69;1990TIV;0
ambos sexos;de jornada parcial o si no, completa;de 65 a 69;1990TIII;0
ambos sexos;de jornada parcial o si no, completa;de 65 a 69;1990TII;0
ambos sexos;de jornada parcial o si no, completa;de 65 a 69;1990TI;0
ambos sexos;de jornada parcial o si no, completa;de 65 a 69;1989TIV;0
ambos sexos;de jornada parcial o si no, completa;de 65 a 69;1989TIII;0
ambos sexos;de jornada parcial o si no, completa;de 65 a 69;1989TII;0
ambos sexos;de jornada parcial o si no, completa;de 65 a 69;1989TI;0
ambos sexos;de jornada parcial o si no, completa;de 65 a 69;1988TIV;0
ambos sexos;de jornada parcial o si no, completa;de 65 a 69;1988TIII;0
ambos sexos;de jornada parcial o si no, completa;de 65 a 69;1988TII;0
ambos sexos;de jornada parcial o si no, completa;de 65 a 69;1988TI;0
ambos sexos;de jornada parcial o si no, completa;de 65 a 69;1987TIV;0
ambos sexos;de jornada parcial o si no, completa;de 65 a 69;1987TIII;0
ambos sexos;de jornada parcial o si no, completa;de 65 a 69;1987TII;0
ambos sexos;de jornada parcial o si no, completa;de 70 y más;1995TIV;0
ambos sexos;de jornada parcial o si no, completa;de 70 y más;1995TIII;0
ambos sexos;de jornada parcial o si no, completa;de 70 y más;1995TII;0
ambos sexos;de jornada parcial o si no, completa;de 70 y más;1995TI;0
ambos sexos;de jornada parcial o si no, completa;de 70 y más;1994TIV;0
ambos sexos;de jornada parcial o si no, completa;de 70 y más;1994TIII;0
ambos sexos;de jornada parcial o si no, completa;de 70 y más;1994TII;0
ambos sexos;de jornada parcial o si no, completa;de 70 y más;1994TI;0
ambos sexos;de jornada parcial o si no, completa;de 70 y más;1993TIV;0
ambos sexos;de jornada parcial o si no, completa;de 70 y más;1993TIII;0
ambos sexos;de jornada parcial o si no, completa;de 70 y más;1993TII;0
ambos sexos;de jornada parcial o si no, completa;de 70 y más;1993TI;0
ambos sexos;de jornada parcial o si no, completa;de 70 y más;1992TIV;0,1
ambos sexos;de jornada parcial o si no, completa;de 70 y más;1992TIII;0
ambos sexos;de jornada parcial o si no, completa;de 70 y más;1992TII;0
ambos sexos;de jornada parcial o si no, completa;de 70 y más;1992TI;0
ambos sexos;de jornada parcial o si no, completa;de 70 y más;1991TIV;0
ambos sexos;de jornada parcial o si no, completa;de 70 y más;1991TIII;0
ambos sexos;de jornada parcial o si no, completa;de 70 y más;1991TII;0
ambos sexos;de jornada parcial o si no, completa;de 70 y más;1991TI;0
ambos sexos;de jornada parcial o si no, completa;de 70 y más;1990TIV;0
ambos sexos;de jornada parcial o si no, completa;de 70 y más;1990TIII;0
ambos sexos;de jornada parcial o si no, completa;de 70 y más;1990TII;0
ambos sexos;de jornada parcial o si no, completa;de 70 y más;1990TI;0
ambos sexos;de jornada parcial o si no, completa;de 70 y más;1989TIV;0
ambos sexos;de jornada parcial o si no, completa;de 70 y más;1989TIII;0
ambos sexos;de jornada parcial o si no, completa;de 70 y más;1989TII;0
ambos sexos;de jornada parcial o si no, completa;de 70 y más;1989TI;0
ambos sexos;de jornada parcial o si no, completa;de 70 y más;1988TIV;0
ambos sexos;de jornada parcial o si no, completa;de 70 y más;1988TIII;0
ambos sexos;de jornada parcial o si no, completa;de 70 y más;1988TII;0
ambos sexos;de jornada parcial o si no, completa;de 70 y más;1988TI;0
ambos sexos;de jornada parcial o si no, completa;de 70 y más;1987TIV;0
ambos sexos;de jornada parcial o si no, completa;de 70 y más;1987TIII;0
ambos sexos;de jornada parcial o si no, completa;de 70 y más;1987TII;0
ambos sexos;de jornada parcial únicamente;total;1995TIV;83,7
ambos sexos;de jornada parcial únicamente;total;1995TIII;85
ambos sexos;de jornada parcial únicamente;total;1995TII;87,8
ambos sexos;de jornada parcial únicamente;total;1995TI;97,5
ambos sexos;de jornada parcial únicamente;total;1994TIV;90,4
ambos sexos;de jornada parcial únicamente;total;1994TIII;76,6
ambos sexos;de jornada parcial únicamente;total;1994TII;86,6
ambos sexos;de jornada parcial únicamente;total;1994TI;95,3
ambos sexos;de jornada parcial únicamente;total;1993TIV;91,1
ambos sexos;de jornada parcial únicamente;total;1993TIII;83,5
ambos sexos;de jornada parcial únicamente;total;1993TII;87
ambos sexos;de jornada parcial únicamente;total;1993TI;90,7
ambos sexos;de jornada parcial únicamente;total;1992TIV;83,1
ambos sexos;de jornada parcial únicamente;total;1992TIII;80,4
ambos sexos;de jornada parcial únicamente;total;1992TII;82,6
ambos sexos;de jornada parcial únicamente;total;1992TI;84,8
ambos sexos;de jornada parcial únicamente;total;1991TIV;71,8
ambos sexos;de jornada parcial únicamente;total;1991TIII;67,4
ambos sexos;de jornada parcial únicamente;total;1991TII;67,8
ambos sexos;de jornada parcial únicamente;total;1991TI;81,4
ambos sexos;de jornada parcial únicamente;total;1990TIV;80,3
ambos sexos;de jornada parcial únicamente;total;1990TIII;77,4
ambos sexos;de jornada parcial únicamente;total;1990TII;73,1
ambos sexos;de jornada parcial únicamente;total;1990TI;75,5
ambos sexos;de jornada parcial únicamente;total;1989TIV;69,5
ambos sexos;de jornada parcial únicamente;total;1989TIII;66,6
ambos sexos;de jornada parcial únicamente;total;1989TII;65,3
ambos sexos;de jornada parcial únicamente;total;1989TI;68,1
ambos sexos;de jornada parcial únicamente;total;1988TIV;74,9
ambos sexos;de jornada parcial únicamente;total;1988TIII;69,9
ambos sexos;de jornada parcial únicamente;total;1988TII;81,2
ambos sexos;de jornada parcial únicamente;total;1988TI;84,1
ambos sexos;de jornada parcial únicamente;total;1987TIV;79,6
ambos sexos;de jornada parcial únicamente;total;1987TIII;76,2
ambos sexos;de jornada parcial únicamente;total;1987TII;89,3
ambos sexos;de jornada parcial únicamente;de 16 a 19;1995TIV;9,1
ambos sexos;de jornada parcial únicamente;de 16 a 19;1995TIII;12,1
ambos sexos;de jornada parcial únicamente;de 16 a 19;1995TII;11,5
ambos sexos;de jornada parcial únicamente;de 16 a 19;1995TI;15,2
ambos sexos;de jornada parcial únicamente;de 16 a 19;1994TIV;15,6
ambos sexos;de jornada parcial únicamente;de 16 a 19;1994TIII;8,8
ambos sexos;de jornada parcial únicamente;de 16 a 19;1994TII;10
ambos sexos;de jornada parcial únicamente;de 16 a 19;1994TI;13,8
ambos sexos;de jornada parcial únicamente;de 16 a 19;1993TIV;12,3
ambos sexos;de jornada parcial únicamente;de 16 a 19;1993TIII;8,7
ambos sexos;de jornada parcial únicamente;de 16 a 19;1993TII;11,3
ambos sexos;de jornada parcial únicamente;de 16 a 19;1993TI;9,9
ambos sexos;de jornada parcial únicamente;de 16 a 19;1992TIV;11,4
ambos sexos;de jornada parcial únicamente;de 16 a 19;1992TIII;11,5
ambos sexos;de jornada parcial únicamente;de 16 a 19;1992TII;11,4
ambos sexos;de jornada parcial únicamente;de 16 a 19;1992TI;13,9
ambos sexos;de jornada parcial únicamente;de 16 a 19;1991TIV;10,2
ambos sexos;de jornada parcial únicamente;de 16 a 19;1991TIII;6,7
ambos sexos;de jornada parcial únicamente;de 16 a 19;1991TII;7,1
ambos sexos;de jornada parcial únicamente;de 16 a 19;1991TI;10,6
ambos sexos;de jornada parcial únicamente;de 16 a 19;1990TIV;13,6
ambos sexos;de jornada parcial únicamente;de 16 a 19;1990TIII;11,5
ambos sexos;de jornada parcial únicamente;de 16 a 19;1990TII;11,9
ambos sexos;de jornada parcial únicamente;de 16 a 19;1990TI;9,6
ambos sexos;de jornada parcial únicamente;de 16 a 19;1989TIV;12,9
ambos sexos;de jornada parcial únicamente;de 16 a 19;1989TIII;11,5
ambos sexos;de jornada parcial únicamente;de 16 a 19;1989TII;8
ambos sexos;de jornada parcial únicamente;de 16 a 19;1989TI;10,2
ambos sexos;de jornada parcial únicamente;de 16 a 19;1988TIV;15
ambos sexos;de jornada parcial únicamente;de 16 a 19;1988TIII;12,2
ambos sexos;de jornada parcial únicamente;de 16 a 19;1988TII;11,2
ambos sexos;de jornada parcial únicamente;de 16 a 19;1988TI;14,3
ambos sexos;de jornada parcial únicamente;de 16 a 19;1987TIV;14,9
ambos sexos;de jornada parcial únicamente;de 16 a 19;1987TIII;16,3
ambos sexos;de jornada parcial únicamente;de 16 a 19;1987TII;15,9
ambos sexos;de jornada parcial únicamente;de 20 a 24;1995TIV;19,4
ambos sexos;de jornada parcial únicamente;de 20 a 24;1995TIII;18,8
ambos sexos;de jornada parcial únicamente;de 20 a 24;1995TII;22,9
ambos sexos;de jornada parcial únicamente;de 20 a 24;1995TI;21,6
ambos sexos;de jornada parcial únicamente;de 20 a 24;1994TIV;21,8
ambos sexos;de jornada parcial únicamente;de 20 a 24;1994TIII;16,1
ambos sexos;de jornada parcial únicamente;de 20 a 24;1994TII;16,9
ambos sexos;de jornada parcial únicamente;de 20 a 24;1994TI;23,3
ambos sexos;de jornada parcial únicamente;de 20 a 24;1993TIV;19,5
ambos sexos;de jornada parcial únicamente;de 20 a 24;1993TIII;16,2
ambos sexos;de jornada parcial únicamente;de 20 a 24;1993TII;18,6
ambos sexos;de jornada parcial únicamente;de 20 a 24;1993TI;18,2
ambos sexos;de jornada parcial únicamente;de 20 a 24;1992TIV;19,3
ambos sexos;de jornada parcial únicamente;de 20 a 24;1992TIII;14,4
ambos sexos;de jornada parcial únicamente;de 20 a 24;1992TII;18,9
ambos sexos;de jornada parcial únicamente;de 20 a 24;1992TI;16,6
ambos sexos;de jornada parcial únicamente;de 20 a 24;1991TIV;15,1
ambos sexos;de jornada parcial únicamente;de 20 a 24;1991TIII;13,2
ambos sexos;de jornada parcial únicamente;de 20 a 24;1991TII;12,4
ambos sexos;de jornada parcial únicamente;de 20 a 24;1991TI;19,5
ambos sexos;de jornada parcial únicamente;de 20 a 24;1990TIV;19
ambos sexos;de jornada parcial únicamente;de 20 a 24;1990TIII;18,3
ambos sexos;de jornada parcial únicamente;de 20 a 24;1990TII;17,3
ambos sexos;de jornada parcial únicamente;de 20 a 24;1990TI;17,7
ambos sexos;de jornada parcial únicamente;de 20 a 24;1989TIV;14,9
ambos sexos;de jornada parcial únicamente;de 20 a 24;1989TIII;13,3
ambos sexos;de jornada parcial únicamente;de 20 a 24;1989TII;14,7
ambos sexos;de jornada parcial únicamente;de 20 a 24;1989TI;14,5
ambos sexos;de jornada parcial únicamente;de 20 a 24;1988TIV;14,8
ambos sexos;de jornada parcial únicamente;de 20 a 24;1988TIII;11,7
ambos sexos;de jornada parcial únicamente;de 20 a 24;1988TII;17,6
ambos sexos;de jornada parcial únicamente;de 20 a 24;1988TI;16,4
ambos sexos;de jornada parcial únicamente;de 20 a 24;1987TIV;17,2
ambos sexos;de jornada parcial únicamente;de 20 a 24;1987TIII;11,3
ambos sexos;de jornada parcial únicamente;de 20 a 24;1987TII;14,9
ambos sexos;de jornada parcial únicamente;de 25 a 29;1995TIV;14,5
ambos sexos;de jornada parcial únicamente;de 25 a 29;1995TIII;13,6
ambos sexos;de jornada parcial únicamente;de 25 a 29;1995TII;13,5
ambos sexos;de jornada parcial únicamente;de 25 a 29;1995TI;12,9
ambos sexos;de jornada parcial únicamente;de 25 a 29;1994TIV;12,9
ambos sexos;de jornada parcial únicamente;de 25 a 29;1994TIII;11,8
ambos sexos;de jornada parcial únicamente;de 25 a 29;1994TII;15
ambos sexos;de jornada parcial únicamente;de 25 a 29;1994TI;15,7
ambos sexos;de jornada parcial únicamente;de 25 a 29;1993TIV;16,2
ambos sexos;de jornada parcial únicamente;de 25 a 29;1993TIII;15,8
ambos sexos;de jornada parcial únicamente;de 25 a 29;1993TII;12,3
ambos sexos;de jornada parcial únicamente;de 25 a 29;1993TI;14,5
ambos sexos;de jornada parcial únicamente;de 25 a 29;1992TIV;11,3
ambos sexos;de jornada parcial únicamente;de 25 a 29;1992TIII;13,2
ambos sexos;de jornada parcial únicamente;de 25 a 29;1992TII;10,5
ambos sexos;de jornada parcial únicamente;de 25 a 29;1992TI;15,4
ambos sexos;de jornada parcial únicamente;de 25 a 29;1991TIV;13,7
ambos sexos;de jornada parcial únicamente;de 25 a 29;1991TIII;11,8
ambos sexos;de jornada parcial únicamente;de 25 a 29;1991TII;11,3
ambos sexos;de jornada parcial únicamente;de 25 a 29;1991TI;14,7
ambos sexos;de jornada parcial únicamente;de 25 a 29;1990TIV;11,8
ambos sexos;de jornada parcial únicamente;de 25 a 29;1990TIII;10,9
ambos sexos;de jornada parcial únicamente;de 25 a 29;1990TII;9,6
ambos sexos;de jornada parcial únicamente;de 25 a 29;1990TI;13,3
ambos sexos;de jornada parcial únicamente;de 25 a 29;1989TIV;13,5
ambos sexos;de jornada parcial únicamente;de 25 a 29;1989TIII;14,2
ambos sexos;de jornada parcial únicamente;de 25 a 29;1989TII;14,9
ambos sexos;de jornada parcial únicamente;de 25 a 29;1989TI;14,9
ambos sexos;de jornada parcial únicamente;de 25 a 29;1988TIV;11,3
ambos sexos;de jornada parcial únicamente;de 25 a 29;1988TIII;12,5
ambos sexos;de jornada parcial únicamente;de 25 a 29;1988TII;11,5
ambos sexos;de jornada parcial únicamente;de 25 a 29;1988TI;14,3
ambos sexos;de jornada parcial únicamente;de 25 a 29;1987TIV;11,1
ambos sexos;de jornada parcial únicamente;de 25 a 29;1987TIII;10,5
ambos sexos;de jornada parcial únicamente;de 25 a 29;1987TII;13,3
ambos sexos;de jornada parcial únicamente;de 30 a 34;1995TIV;10,2
ambos sexos;de jornada parcial únicamente;de 30 a 34;1995TIII;11,5
ambos sexos;de jornada parcial únicamente;de 30 a 34;1995TII;11,7
ambos sexos;de jornada parcial únicamente;de 30 a 34;1995TI;16,4
ambos sexos;de jornada parcial únicamente;de 30 a 34;1994TIV;11,5
ambos sexos;de jornada parcial únicamente;de 30 a 34;1994TIII;12,4
ambos sexos;de jornada parcial únicamente;de 30 a 34;1994TII;13
ambos sexos;de jornada parcial únicamente;de 30 a 34;1994TI;14,3
ambos sexos;de jornada parcial únicamente;de 30 a 34;1993TIV;11,3
ambos sexos;de jornada parcial únicamente;de 30 a 34;1993TIII;12,4
ambos sexos;de jornada parcial únicamente;de 30 a 34;1993TII;12,8
ambos sexos;de jornada parcial únicamente;de 30 a 34;1993TI;14,2
ambos sexos;de jornada parcial únicamente;de 30 a 34;1992TIV;12,5
ambos sexos;de jornada parcial únicamente;de 30 a 34;1992TIII;15,7
ambos sexos;de jornada parcial únicamente;de 30 a 34;1992TII;14,1
ambos sexos;de jornada parcial únicamente;de 30 a 34;1992TI;12,8
ambos sexos;de jornada parcial únicamente;de 30 a 34;1991TIV;10,4
ambos sexos;de jornada parcial únicamente;de 30 a 34;1991TIII;12,9
ambos sexos;de jornada parcial únicamente;de 30 a 34;1991TII;11,1
ambos sexos;de jornada parcial únicamente;de 30 a 34;1991TI;12,7
ambos sexos;de jornada parcial únicamente;de 30 a 34;1990TIV;12,3
ambos sexos;de jornada parcial únicamente;de 30 a 34;1990TIII;12,8
ambos sexos;de jornada parcial únicamente;de 30 a 34;1990TII;11
ambos sexos;de jornada parcial únicamente;de 30 a 34;1990TI;12,2
ambos sexos;de jornada parcial únicamente;de 30 a 34;1989TIV;8,7
ambos sexos;de jornada parcial únicamente;de 30 a 34;1989TIII;7,2
ambos sexos;de jornada parcial únicamente;de 30 a 34;1989TII;6,5
ambos sexos;de jornada parcial únicamente;de 30 a 34;1989TI;7,4
ambos sexos;de jornada parcial únicamente;de 30 a 34;1988TIV;9,8
ambos sexos;de jornada parcial únicamente;de 30 a 34;1988TIII;10,4
ambos sexos;de jornada parcial únicamente;de 30 a 34;1988TII;12,2
ambos sexos;de jornada parcial únicamente;de 30 a 34;1988TI;13,4
ambos sexos;de jornada parcial únicamente;de 30 a 34;1987TIV;11,5
ambos sexos;de jornada parcial únicamente;de 30 a 34;1987TIII;8,3
ambos sexos;de jornada parcial únicamente;de 30 a 34;1987TII;10,4
ambos sexos;de jornada parcial únicamente;de 35 a 39;1995TIV;11,7
ambos sexos;de jornada parcial únicamente;de 35 a 39;1995TIII;11,9
ambos sexos;de jornada parcial únicamente;de 35 a 39;1995TII;11,8
ambos sexos;de jornada parcial únicamente;de 35 a 39;1995TI;14,5
ambos sexos;de jornada parcial únicamente;de 35 a 39;1994TIV;12,7
ambos sexos;de jornada parcial únicamente;de 35 a 39;1994TIII;10,7
ambos sexos;de jornada parcial únicamente;de 35 a 39;1994TII;9,7
ambos sexos;de jornada parcial únicamente;de 35 a 39;1994TI;8,8
ambos sexos;de jornada parcial únicamente;de 35 a 39;1993TIV;9
ambos sexos;de jornada parcial únicamente;de 35 a 39;1993TIII;9,9
ambos sexos;de jornada parcial únicamente;de 35 a 39;1993TII;9,3
ambos sexos;de jornada parcial únicamente;de 35 a 39;1993TI;9,3
ambos sexos;de jornada parcial únicamente;de 35 a 39;1992TIV;8,8
ambos sexos;de jornada parcial únicamente;de 35 a 39;1992TIII;7,8
ambos sexos;de jornada parcial únicamente;de 35 a 39;1992TII;8,2
ambos sexos;de jornada parcial únicamente;de 35 a 39;1992TI;6,9
ambos sexos;de jornada parcial únicamente;de 35 a 39;1991TIV;6,8
ambos sexos;de jornada parcial únicamente;de 35 a 39;1991TIII;7,5
ambos sexos;de jornada parcial únicamente;de 35 a 39;1991TII;9,2
ambos sexos;de jornada parcial únicamente;de 35 a 39;1991TI;8,6
ambos sexos;de jornada parcial únicamente;de 35 a 39;1990TIV;8,3
ambos sexos;de jornada parcial únicamente;de 35 a 39;1990TIII;8,4
ambos sexos;de jornada parcial únicamente;de 35 a 39;1990TII;7,7
ambos sexos;de jornada parcial únicamente;de 35 a 39;1990TI;8
ambos sexos;de jornada parcial únicamente;de 35 a 39;1989TIV;7,2
ambos sexos;de jornada parcial únicamente;de 35 a 39;1989TIII;7,6
ambos sexos;de jornada parcial únicamente;de 35 a 39;1989TII;8,2
ambos sexos;de jornada parcial únicamente;de 35 a 39;1989TI;7,2
ambos sexos;de jornada parcial únicamente;de 35 a 39;1988TIV;9,9
ambos sexos;de jornada parcial únicamente;de 35 a 39;1988TIII;6,7
ambos sexos;de jornada parcial únicamente;de 35 a 39;1988TII;11,2
ambos sexos;de jornada parcial únicamente;de 35 a 39;1988TI;10,1
ambos sexos;de jornada parcial únicamente;de 35 a 39;1987TIV;8,6
ambos sexos;de jornada parcial únicamente;de 35 a 39;1987TIII;10,7
ambos sexos;de jornada parcial únicamente;de 35 a 39;1987TII;10
ambos sexos;de jornada parcial únicamente;de 40 a 44;1995TIV;6,8
ambos sexos;de jornada parcial únicamente;de 40 a 44;1995TIII;5,9
ambos sexos;de jornada parcial únicamente;de 40 a 44;1995TII;6,1
ambos sexos;de jornada parcial únicamente;de 40 a 44;1995TI;7,1
ambos sexos;de jornada parcial únicamente;de 40 a 44;1994TIV;6,7
ambos sexos;de jornada parcial únicamente;de 40 a 44;1994TIII;6,9
ambos sexos;de jornada parcial únicamente;de 40 a 44;1994TII;12,1
ambos sexos;de jornada parcial únicamente;de 40 a 44;1994TI;8
ambos sexos;de jornada parcial únicamente;de 40 a 44;1993TIV;10,7
ambos sexos;de jornada parcial únicamente;de 40 a 44;1993TIII;8,4
ambos sexos;de jornada parcial únicamente;de 40 a 44;1993TII;8,8
ambos sexos;de jornada parcial únicamente;de 40 a 44;1993TI;9,2
ambos sexos;de jornada parcial únicamente;de 40 a 44;1992TIV;8,2
ambos sexos;de jornada parcial únicamente;de 40 a 44;1992TIII;9,7
ambos sexos;de jornada parcial únicamente;de 40 a 44;1992TII;8,8
ambos sexos;de jornada parcial únicamente;de 40 a 44;1992TI;9,2
ambos sexos;de jornada parcial únicamente;de 40 a 44;1991TIV;8
ambos sexos;de jornada parcial únicamente;de 40 a 44;1991TIII;7,8
